arrival_date,modal_price,rolling_avg_7d,rolling_avg_30d,month,season,price_lag_7,price_lag_30,price_volatility,temp_max_c,temp_min_c,rainfall_mm,humidity_max_pct,humidity_min_pct,evapotranspiration_mm,windspeed_max_kmh,temp_range_c,humidity_avg_pct,crop,district,year,yield_kg_ha,days_to_harvest
2015-01-02,7208.666666666667,8111.88888888889,8111.88888888889,1.0,Rabi,,,1463.2450168597509,28.7555,20.7055,0.0,96.68283,54.259678,3.6741285,7.771331,8.050001,75.47125,Turmeric,Erode,2015,7222.0,44
2015-01-03,,,,,,,,,29.1055,21.5555,0.0,88.12978,50.369236,3.4334116,6.489992,7.549999,69.24951,Turmeric,Erode,2015,7222.0,43
2015-01-04,,,,,,,,,29.0055,21.9555,0.5,88.44921,52.73795,3.4866934,6.489992,7.050001,70.59358,Turmeric,Erode,2015,7222.0,42
2015-01-05,8201.5,7518.525,7518.525,1.0,Rabi,,,2024.8923394722433,28.4555,21.4055,0.0,88.93852,50.67938,3.294266,5.3517847,7.049999,69.80895,Turmeric,Erode,2015,7222.0,41
2015-01-06,6544.0,7321.880952380952,7321.880952380952,1.0,Rabi,,,1742.027911992219,28.8555,21.0055,0.0,86.48168,53.44184,3.471438,7.6367526,7.8499985,69.96176,Turmeric,Erode,2015,7222.0,40
2015-01-07,8085.5,7156.214285714286,7407.847222222223,1.0,Rabi,8688.0,,1523.2708139505457,28.5055,21.5055,0.0,88.41214,54.330223,3.1865137,7.42159,7.0,71.371185,Turmeric,Erode,2015,7222.0,39
2015-01-08,8068.0,7642.714285714286,7538.25,1.0,Rabi,6174.5,,1397.693000488528,27.5055,21.1055,1.0,95.20188,60.9526,3.0769217,8.427383,6.4000015,78.07724,Turmeric,Erode,2015,7222.0,38
2015-01-09,7607.0,7677.285714285714,7582.1442307692305,1.0,Rabi,7161.5,,1286.6669700908687,28.6055,20.2055,1.0,93.43853,46.575146,3.601551,10.233123,8.4,70.006836,Turmeric,Erode,2015,7222.0,37
2015-01-10,7607.0,7868.285714285714,7585.602380952381,1.0,Rabi,7333.0,,1188.0998338533793,27.9555,18.8055,0.0,84.59836,38.455685,4.537075,9.178235,9.15,61.527023,Turmeric,Erode,2015,7222.0,36
2015-01-11,,,,,,,,,27.5555,18.0555,0.0,83.71842,37.717613,4.490402,9.885262,9.5,60.718018,Turmeric,Erode,2015,7222.0,35
2015-01-12,7789.0,7761.285714285714,7601.795955882353,1.0,Rabi,8105.5,,1111.0607979505203,28.0055,17.6555,0.0,83.1415,35.358032,4.533608,8.435069,10.35,59.249767,Turmeric,Erode,2015,7222.0,34
2015-01-13,7780.0,7690.0,7621.498538011696,1.0,Rabi,7998.0,,1049.3364272383376,28.1555,16.3055,0.0,83.50453,38.821743,4.393122,7.127636,11.85,61.16314,Turmeric,Erode,2015,7222.0,33
2015-01-14,,,,,,,,,28.6555,17.8555,0.0,83.70696,42.02637,4.363064,8.161764,10.800001,62.86667,Turmeric,Erode,2015,7222.0,32
2015-01-15,,,,,,,,,28.9555,18.3055,0.0,85.10241,43.305485,4.2167754,8.654986,10.65,64.20395,Turmeric,Erode,2015,7222.0,31
2015-01-16,,,,,,,,,29.3555,20.7055,0.0,83.479744,44.41264,3.774466,10.495713,8.65,63.94619,Turmeric,Erode,2015,7222.0,30
2015-01-17,,,,,,,,,29.2055,21.3555,0.0,82.00304,45.825542,3.7444549,10.97262,7.8500004,63.91429,Turmeric,Erode,2015,7222.0,29
2015-01-18,,,,,,,,,29.3555,20.2555,0.0,82.13174,44.29806,4.604347,12.4811535,9.099998,63.214897,Turmeric,Erode,2015,7222.0,28
