year,month,modal_price,crop
2015,1,7555.2037037037035,Erode Turmeric
2015,2,7756.289473684211,Erode Turmeric
2015,3,7628.916666666667,Erode Turmeric
2015,4,7763.733333333334,Erode Turmeric
2015,5,7365.911764705882,Erode Turmeric
2015,6,6821.3,Erode Turmeric
2015,7,6873.051282051282,Erode Turmeric
2015,8,7108.705882352941,Erode Turmeric
2015,9,7353.138888888889,Erode Turmeric
2015,10,7830.294117647059,Erode Turmeric
2015,11,8914.62037037037,Erode Turmeric
2015,12,9513.675,Erode Turmeric
2016,1,9093.90909090909,Erode Turmeric
2016,2,8821.0,Erode Turmeric
2016,3,8857.125,Erode Turmeric
2016,4,9009.627777777778,Erode Turmeric
2016,5,8348.63425925926,Erode Turmeric
2016,6,8219.38492063492,Erode Turmeric
2016,7,8388.28947368421,Erode Turmeric
2016,8,8265.96052631579,Erode Turmeric
2016,9,7851.358333333334,Erode Turmeric
2016,10,7984.098958333333,Erode Turmeric
2016,11,7920.586458333333,Erode Turmeric
2016,12,8102.705882352941,Erode Turmeric
2017,1,7799.955882352941,Erode Turmeric
2017,2,7804.0921052631575,Erode Turmeric
2017,3,7524.705882352941,Erode Turmeric
2017,4,6906.617647058823,Erode Turmeric
2017,5,6176.059523809524,Erode Turmeric
2017,6,6364.25,Erode Turmeric
2017,7,7125.321428571428,Erode Turmeric
2017,8,7354.245614035087,Erode Turmeric
2017,9,7311.0921052631575,Erode Turmeric
2017,10,7081.691176470588,Erode Turmeric
2017,11,7339.011363636364,Erode Turmeric
2017,12,7144.075,Erode Turmeric
2018,1,6935.662280701755,Erode Turmeric
2018,2,6671.0,Erode Turmeric
2018,3,6718.6625,Erode Turmeric
2018,4,6868.10294117647,Erode Turmeric
2018,5,7264.761363636364,Erode Turmeric
2018,6,7040.281746031746,Erode Turmeric
2018,7,6950.056818181818,Erode Turmeric
2018,8,6857.0,Erode Turmeric
2018,9,6386.073529411765,Erode Turmeric
2018,10,6544.86052631579,Erode Turmeric
2018,11,6625.932291666667,Erode Turmeric
2018,12,6409.35,Erode Turmeric
2019,1,6389.171875,Erode Turmeric
2019,2,6046.2625,Erode Turmeric
2019,3,6126.15,Erode Turmeric
2019,4,6620.035714285715,Erode Turmeric
2019,5,6514.590909090909,Erode Turmeric
2019,6,6334.434210526316,Erode Turmeric
2019,7,6451.9695652173905,Erode Turmeric
2019,8,6435.231578947368,Erode Turmeric
2019,9,6212.684210526316,Erode Turmeric
2019,10,6201.3026315789475,Erode Turmeric
2019,11,6144.011904761905,Erode Turmeric
2019,12,5839.986842105263,Erode Turmeric
2020,1,6130.171875,Erode Turmeric
2020,2,5597.039473684211,Erode Turmeric
2020,3,5670.607142857143,Erode Turmeric
2020,4,6100.5,Erode Turmeric
2020,5,5647.486842105263,Erode Turmeric
2020,6,5615.357142857143,Erode Turmeric
2020,7,5480.932575757575,Erode Turmeric
2020,8,5389.051851851852,Erode Turmeric
2020,9,5424.464285714285,Erode Turmeric
2020,10,5278.1,Erode Turmeric
2020,11,5335.716666666667,Erode Turmeric
2020,12,5411.065217391304,Erode Turmeric
2021,1,5548.673076923077,Erode Turmeric
2021,2,7014.622807017545,Erode Turmeric
2021,3,7939.549242424243,Erode Turmeric
2021,4,7189.442307692308,Erode Turmeric
2021,5,6883.0,Erode Turmeric
2021,6,6866.5,Erode Turmeric
2021,7,6658.4375,Erode Turmeric
2021,8,6465.730392156863,Erode Turmeric
2021,9,6247.5921052631575,Erode Turmeric
2021,10,6338.296875,Erode Turmeric
2021,11,6655.571212121213,Erode Turmeric
2021,12,7124.602272727273,Erode Turmeric
2022,1,7099.426470588235,Erode Turmeric
2022,2,7225.9125,Erode Turmeric
2022,3,7150.514705882353,Erode Turmeric
2022,4,7039.097222222223,Erode Turmeric
2022,5,6343.445,Erode Turmeric
2022,6,6349.421212121212,Erode Turmeric
2022,7,6339.082692307692,Erode Turmeric
2022,8,6294.701449275362,Erode Turmeric
2022,9,6184.924305555555,Erode Turmeric
2022,10,6221.260185185185,Erode Turmeric
2022,11,6420.411111111111,Erode Turmeric
2022,12,6207.410416666667,Erode Turmeric
2023,1,6071.523333333333,Erode Turmeric
2023,2,5919.178030303031,Erode Turmeric
2023,3,6133.258333333333,Erode Turmeric
