state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,commodity_code,price_spread
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-02,504,560,532,100,28
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-03,504,560,532,100,28
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-05,504,560,532,100,28
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-06,504,560,532,100,28
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-09,504,560,532,100,28
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-10,504,560,532,100,28
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-11,504,560,532,100,28
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-20,504,560,532,100,28
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-23,504,560,532,100,28
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-24,504,560,532,100,28
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-25,504,560,532,100,28
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-26,644,700,672,100,28
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-27,644,700,672,100,28
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-30,644,700,672,100,28
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-31,644,700,672,100,28
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-06-01,644,700,672,100,28
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-06-02,644,700,672,100,28
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-06-03,644,700,672,100,28
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-06-06,644,700,672,100,28
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-06-07,644,700,672,100,28
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-06-08,644,700,672,100,28
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-06-09,644,700,672,100,28
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-06-10,644,700,672,100,28
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-06-13,840,896,868,100,28
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-06-14,840,896,868,100,28
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-06-15,840,896,868,100,28
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-06-20,840,896,868,100,28
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-06-21,840,896,868,100,28
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-06-22,840,896,868,100,28
