state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,commodity_code,price_spread,rolling_avg_7d,rolling_avg_30d,month,season,price_lag_7,price_lag_30,price_volatility
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-02,504,560,532,100,28,532.0,532.0,5,Summer,,,
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-03,504,560,532,100,28,532.0,532.0,5,Summer,,,0.0
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-05,504,560,532,100,28,532.0,532.0,5,Summer,,,0.0
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-06,504,560,532,100,28,532.0,532.0,5,Summer,,,0.0
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-09,504,560,532,100,28,532.0,532.0,5,Summer,,,0.0
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-10,504,560,532,100,28,532.0,532.0,5,Summer,,,0.0
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-11,504,560,532,100,28,532.0,532.0,5,Summer,,,0.0
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-20,504,560,532,100,28,532.0,532.0,5,Summer,532.0,,0.0
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-23,504,560,532,100,28,532.0,532.0,5,Summer,532.0,,0.0
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-24,504,560,532,100,28,532.0,532.0,5,Summer,532.0,,0.0
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-25,504,560,532,100,28,532.0,532.0,5,Summer,532.0,,0.0
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-26,644,700,672,100,28,552.0,543.6666666666666,5,Summer,532.0,,40.41451884327381
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-27,644,700,672,100,28,572.0,553.5384615384615,5,Summer,532.0,,52.57473313391676
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-30,644,700,672,100,28,592.0,562.0,5,Summer,532.0,,59.61414390768482
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-05-31,644,700,672,100,28,612.0,569.3333333333334,5,Summer,532.0,,64.08327915038889
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-06-01,644,700,672,100,28,632.0,575.75,6,Kharif,532.0,,67.01989754294367
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-06-02,644,700,672,100,28,652.0,581.4117647058823,6,Kharif,532.0,,68.96290563006445
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-06-03,644,700,672,100,28,672.0,586.4444444444445,6,Kharif,532.0,,70.22838559863703
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-06-06,644,700,672,100,28,672.0,590.9473684210526,6,Kharif,672.0,,71.01601829025033
Tamil Nadu,Salem,Attur,Tapioca,Tapioca,FAQ,2016-06-07,644,700,672,100,28,672.0,595.0,6,Kharif,672.0,,71.45848997476567
