state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,commodity_code,price_spread
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-02,7839,8697,8439,39,600
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-02,8120,9287,8937,39,817
Tamil Nadu,Erode,Kunnathur,Turmeric,Other,FAQ,2015-01-02,4200,4300,4250,39,50
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-05,7414,8316,8099,39,685
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-05,7657,8696,8304,39,647
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-06,5959,7595,6019,39,60
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-06,6029,8611,7069,39,1040
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-07,6869,7837,7597,39,728
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-07,7448,8898,8574,39,1126
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-08,6931,7996,7637,39,706
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-08,7481,8749,8499,39,1018
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-09,6919,7996,7717,39,798
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-09,6579,7687,7497,39,918
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-10,6579,7687,7497,39,918
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-10,6919,7996,7717,39,798
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-12,6969,7896,7589,39,620
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-12,7319,8209,7989,39,670
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-13,6923,7875,7585,39,662
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-13,7313,8299,7975,39,662
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-19,6019,7314,6969,39,950
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-19,6089,7896,7669,39,1580
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-20,6069,7339,6999,39,930
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-20,6809,7829,7579,39,770
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-21,7269,8120,7889,39,620
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-21,6591,7349,7039,39,448
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-22,6469,7469,7099,39,630
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-22,6709,7919,7729,39,1020
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-23,7289,8185,7969,39,680
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-23,6989,7799,7409,39,420
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-27,6169,7869,7049,39,880
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-27,6239,7300,6770,39,531
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-28,6723,7911,7669,39,946
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-28,6523,7509,7260,39,737
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-29,6799,7899,7503,39,704
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-29,6899,8313,8037,39,1138
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-30,6899,7799,7499,39,600
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-30,7109,8369,8069,39,960
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-02,6489,7299,7039,39,550
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-02,6869,7820,7589,39,720
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-03,7099,8269,7796,39,697
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-03,6009,6899,6519,39,510
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-04,6869,7869,7689,39,820
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-04,6219,7699,7469,39,1250
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-05,7069,8069,7814,39,745
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-05,6623,7599,7269,39,646
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-06,6889,7689,7499,39,610
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-06,7241,8239,7911,39,670
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-09,7199,8181,7819,39,620
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-09,6999,7809,7574,39,575
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-10,6911,7727,7518,39,607
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-10,7071,8112,7836,39,765
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-11,7269,8285,7910,39,641
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-11,6999,7849,7539,39,540
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-12,6999,7739,7417,39,418
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-12,7099,8399,7827,39,728
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-13,7139,8169,7744,39,605
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-13,6900,7795,7467,39,567
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-16,6869,7683,7399,39,530
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-16,6969,7839,7539,39,570
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-17,6900,7737,7400,39,500
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-17,7055,8200,7839,39,784
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-19,7439,8369,8169,39,730
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-19,7239,8189,7819,39,580
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-20,7169,8323,8074,39,905
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-20,7019,8139,7877,39,858
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-23,7217,8469,8249,39,1032
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-23,6893,8468,7939,39,1046
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-24,7110,8327,7969,39,859
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-24,7219,8528,8338,39,1119
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-25,7499,8588,8217,39,718
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-25,7277,8344,7903,39,626
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-26,7477,8369,7987,39,510
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-26,7587,8700,8411,39,824
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-27,7385,8293,8065,39,680
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-27,7599,8888,8300,39,701
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-03-02,7599,8899,8537,39,938
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-03-02,7255,8257,8006,39,751
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-03-03,7591,8669,8419,39,828
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-03-03,6969,7869,7534,39,565
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-03-04,6923,7801,7469,39,546
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-03-04,7237,8134,7943,39,706
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-03-05,7059,8039,7720,39,661
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-03-05,7499,8569,8290,39,791
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-03-09,7399,8340,8019,39,620
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-03-09,7019,7899,7645,39,626
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-03-10,7013,8169,7591,39,578
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-03-10,7019,7537,7278,39,259
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-03-11,6999,7573,7288,39,289
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-03-11,7099,8114,7686,39,587
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-03-12,7569,8620,8094,39,525
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-03-12,6500,7568,7034,39,534
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-03-13,7109,8419,7764,39,655
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-03-13,6989,7691,7340,39,351
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-03-16,7209,8409,7809,39,600
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-03-16,6399,7469,6934,39,535
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-03-17,7299,8499,7899,39,600
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-03-17,6690,7637,7163,39,473
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-03-18,6598,7669,7134,39,536
