State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Tamil Nadu,Erode,Anthiyur,Turmeric,Other,FAQ,11/08/2022,2800,3000,2900,39
Tamil Nadu,Erode,Anthiyur,Turmeric,Other,FAQ,15/10/2018,5700,7205,7055,39
Tamil Nadu,Erode,Anthiyur,Turmeric,Finger,FAQ,24/11/2016,7950,8050,8000,39
Tamil Nadu,Erode,Anthiyur,Turmeric,Finger,FAQ,17/11/2016,8889,9100,8995,39
Tamil Nadu,Erode,Anthiyur,Turmeric,Finger,FAQ,23/11/2016,7450,7550,7500,39
Tamil Nadu,Erode,Anthiyur,Turmeric,Other,FAQ,17/10/2018,7050,7205,7140,39
Tamil Nadu,Erode,Anthiyur,Turmeric,Other,FAQ,02/08/2022,1900,2000,2000,39
Tamil Nadu,Erode,Anthiyur,Turmeric,Other,FAQ,23/08/2022,5100,6650,5875,39
Tamil Nadu,Erode,Anthiyur,Turmeric,Other,FAQ,30/10/2018,7030,7060,7055,39
Tamil Nadu,Erode,Bhavani,Turmeric,Other,FAQ,24/06/2022,5500,8000,6500,39
Tamil Nadu,Erode,Bhavani,Turmeric,Other,FAQ,17/06/2022,5500,8000,6500,39
Tamil Nadu,Erode,Chithode,Turmeric,Bulb,FAQ,07/08/2019,5000,5200,5100,39
Tamil Nadu,Erode,Chithode,Turmeric,Bulb,FAQ,08/08/2019,5500,6700,6100,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,03/05/2024,9000,17455,13227,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,14/05/2024,9500,10000,9850,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,19/05/2024,13000,18000,15000,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,08/01/2024,8522,15997,12500,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,23/01/2024,11500,12000,11750,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,30/01/2024,14624,14626,14625,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,13/02/2024,6561,11500,9030,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,25/02/2024,8125,12700,10412,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,08/03/2024,8199,13005,10602,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,12/03/2024,8000,19345,13672,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,20/03/2024,7500,18000,12750,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,25/03/2024,10000,10070,10035,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,05/04/2024,14900,15200,15050,39
Tamil Nadu,Erode,Chithode,Turmeric,Bulb,FAQ,15/07/2020,4655,5950,5277,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,31/08/2020,4689,5705,5197,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,01/12/2020,4500,6500,5500,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,04/07/2022,5500,7400,6450,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,05/07/2022,4669,6819,5744,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,06/07/2022,5495,6831,6163,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,09/08/2022,7000,7173,7100,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,12/08/2022,5000,7139,6069,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,24/08/2022,5980,8000,6990,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,30/08/2022,4525,7800,6162,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,06/10/2022,5800,6000,5900,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,25/10/2022,6999,7001,7000,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,26/10/2022,4750,6959,5854,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,02/11/2022,5605,7000,6302,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,12/01/2023,5000,8973,6986,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,14/02/2023,6005,7000,6502,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,04/03/2023,7044,7369,7206,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,01/08/2023,8500,13999,11249,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,10/08/2023,5248,10000,7624,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,11/08/2023,8000,9000,8500,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,04/10/2023,8767,13158,10962,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,25/10/2023,6101,6301,6201,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,06/11/2023,6233,14300,10266,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,10/12/2023,7000,8625,8350,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,18/12/2023,10117,10206,10161,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,19/12/2023,6902,12006,9454,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,16/05/2022,5000,9000,7000,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,20/07/2022,4512,6803,5652,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,23/07/2022,7200,7400,7300,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,16/08/2022,7285,8500,7892,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,22/08/2022,5400,8066,6703,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,05/09/2022,5050,5055,5052,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,21/10/2022,6105,6520,6295,39
Tamil Nadu,Erode,Chithode,Turmeric,Finger,FAQ,10/11/2022,5200,5800,5596,39
Tamil Nadu,Erode,Chithode,Turmeric,Bulb,FAQ,14/07/2020,5265,5903,5584,39
