state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,commodity_code,price_spread,rolling_avg_7d,rolling_avg_30d,month,season,price_lag_7,price_lag_30,price_volatility
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-02,7839,8697,8439,39,600,8439.0,8439.0,1,Rabi,,,
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-02,8120,9287,8937,39,817,8688.0,8688.0,1,Rabi,,,352.13917703090067
Tamil Nadu,Erode,Kunnathur,Turmeric,Other,FAQ,2015-01-02,4200,4300,4250,39,50,7208.666666666667,7208.666666666667,1,Rabi,,,2574.350856688601
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-05,7414,8316,8099,39,685,7431.25,7431.25,1,Rabi,,,2148.5719870028406
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-05,7657,8696,8304,39,647,7605.8,7605.8,1,Rabi,,,1901.212691941646
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-06,5959,7595,6019,39,60,7341.333333333333,7341.333333333333,1,Rabi,,,1819.7097204407814
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-06,6029,8611,7069,39,1040,7302.428571428572,7302.428571428572,1,Rabi,,,1664.346103543657
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-07,6869,7837,7597,39,728,7182.142857142857,7339.25,1,Rabi,8439.0,,1544.4006465755112
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-07,7448,8898,8574,39,1126,7130.285714285715,7476.444444444444,1,Rabi,8937.0,,1502.1409813255805
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-08,6931,7996,7637,39,706,7614.142857142857,7492.5,1,Rabi,4250.0,,1417.141900681321
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-08,7481,8749,8499,39,1018,7671.285714285715,7584.0,1,Rabi,8099.0,,1378.244100295735
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-09,6579,7687,7497,39,918,7556.0,7576.75,1,Rabi,8304.0,,1314.344158956024
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-09,6919,7996,7717,39,798,7798.571428571428,7587.538461538462,1,Rabi,6019.0,,1258.9897812257132
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-10,6579,7687,7497,39,918,7859.714285714285,7581.071428571428,1,Rabi,7069.0,,1209.8402605484562
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-10,6919,7996,7717,39,798,7876.857142857143,7590.133333333333,1,Rabi,7597.0,,1166.3594071583025
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-12,6969,7896,7589,39,620,7736.142857142857,7590.0625,1,Rabi,8574.0,,1126.8102749945676
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-12,7319,8209,7989,39,670,7786.428571428572,7613.529411764706,1,Rabi,7637.0,,1095.311320906473
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-13,6923,7875,7585,39,662,7655.857142857143,7611.944444444444,1,Rabi,8499.0,,1062.629340070697
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-13,7313,8299,7975,39,662,7724.142857142857,7631.0526315789475,1,Rabi,7497.0,,1036.0435144059782
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-19,6019,7314,6969,39,950,7617.285714285715,7597.95,1,Rabi,7717.0,,1019.2192303296108
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-19,6089,7896,7669,39,1580,7641.857142857143,7601.333333333333,1,Rabi,7497.0,,993.5330056587618
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-20,6069,7339,6999,39,930,7539.285714285715,7573.954545454545,1,Rabi,7717.0,,978.0561614643378
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-20,6809,7829,7579,39,770,7537.857142857143,7574.173913043478,1,Rabi,7589.0,,955.5696850177391
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-21,7269,8120,7889,39,620,7523.571428571428,7587.291666666667,1,Rabi,7989.0,,936.7724645624031
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-21,6591,7349,7039,39,448,7445.571428571428,7565.36,1,Rabi,7585.0,,923.5817902781179
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-22,6709,7919,7729,39,1020,7410.428571428572,7571.653846153846,1,Rabi,7975.0,,905.490538539534
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-22,6469,7469,7099,39,630,7429.0,7554.148148148148,1,Rabi,6969.0,,892.5537132599534
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-23,7289,8185,7969,39,680,7471.857142857143,7568.964285714285,1,Rabi,7669.0,,879.3707970345891
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-23,6989,7799,7409,39,420,7530.428571428572,7563.448275862069,1,Rabi,6999.0,,864.0357377780363
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-27,6169,7869,7049,39,880,7454.714285714285,7546.3,1,Rabi,7579.0,,854.1875006149976
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-27,6239,7300,6770,39,531,7294.857142857143,7490.666666666667,1,Rabi,7889.0,8439.0,848.372248051743
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-28,6723,7911,7669,39,946,7384.857142857143,7448.4,1,Rabi,7039.0,8937.0,804.2700095588933
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-28,6523,7509,7260,39,737,7317.857142857143,7548.733333333334,1,Rabi,7729.0,4250.0,533.769479711293
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-29,6799,7899,7503,39,704,7375.571428571428,7528.866666666667,1,Rabi,7099.0,8099.0,523.5766737864984
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-29,6899,8313,8037,39,1138,7385.285714285715,7519.966666666666,1,Rabi,7969.0,8304.0,512.0895317283367
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-01-30,6899,7799,7499,39,600,7398.142857142857,7569.3,1,Rabi,7409.0,6019.0,426.66955234297143
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-01-30,7109,8369,8069,39,960,7543.857142857143,7602.633333333333,1,Rabi,7049.0,7069.0,425.2961226651646
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-02,6869,7820,7589,39,720,7660.857142857143,7602.366666666667,2,Rabi,6770.0,7597.0,425.30228465567063
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-02,6489,7299,7039,39,550,7570.857142857143,7551.2,2,Rabi,7669.0,8574.0,395.6813765192113
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-03,6009,6899,6519,39,510,7465.0,7513.933333333333,2,Rabi,7260.0,7637.0,437.73554710053236
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-03,7099,8269,7796,39,697,7506.857142857143,7490.5,2,Rabi,7503.0,8499.0,400.40890737276123
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-04,6869,7869,7689,39,820,7457.142857142857,7496.9,2,Rabi,8037.0,7497.0,402.04746245806064
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-04,6219,7699,7469,39,1250,7452.857142857143,7488.633333333333,2,Rabi,7499.0,7717.0,399.9097728698085
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-05,7069,8069,7814,39,745,7416.428571428572,7499.2,2,Rabi,8069.0,7497.0,404.30232798463237
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-05,6623,7599,7269,39,646,7370.714285714285,7484.266666666666,2,Rabi,7589.0,7717.0,404.2539261177427
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-06,6889,7689,7499,39,610,7436.428571428572,7481.266666666666,2,Rabi,7039.0,7589.0,403.78356555968463
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-06,7241,8239,7911,39,670,7635.285714285715,7478.666666666667,2,Rabi,6519.0,7989.0,400.64037819930024
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-09,7199,8181,7819,39,620,7638.571428571428,7486.466666666666,2,Rabi,7796.0,7585.0,405.03569304899327
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-09,6999,7809,7574,39,575,7622.142857142857,7473.1,2,Rabi,7689.0,7975.0,394.8461376457838
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-10,6911,7727,7518,39,607,7629.142857142857,7491.4,2,Rabi,7469.0,6969.0,383.2282654610383
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-10,7071,8112,7836,39,765,7632.285714285715,7496.966666666666,2,Rabi,7814.0,7669.0,387.09042722673325
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-11,6999,7849,7539,39,540,7670.857142857143,7514.966666666666,2,Rabi,7269.0,6999.0,375.51835285819715
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-11,7269,8285,7910,39,641,7729.571428571428,7526.0,2,Rabi,7499.0,7579.0,382.26665183278595
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-12,7099,8399,7827,39,728,7717.571428571428,7523.933333333333,2,Rabi,7911.0,7889.0,380.3995117054532
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-12,6999,7739,7417,39,418,7660.142857142857,7536.533333333334,2,Rabi,7819.0,7039.0,369.8984700710718
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-13,7139,8169,7744,39,605,7684.428571428572,7537.033333333334,2,Rabi,7574.0,7729.0,370.177635209362
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-13,6900,7795,7467,39,567,7677.142857142857,7549.3,2,Rabi,7518.0,7099.0,361.1490426880332
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-16,6869,7683,7399,39,530,7614.714285714285,7530.3,2,Rabi,7836.0,7969.0,353.2139285338914
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-16,6969,7839,7539,39,570,7614.714285714285,7534.633333333333,2,Rabi,7539.0,7409.0,352.47112704773275
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-17,6900,7737,7400,39,500,7541.857142857143,7546.333333333333,2,Rabi,7910.0,7049.0,341.448267736461
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-17,7055,8200,7839,39,784,7543.571428571428,7581.966666666666,2,Rabi,7827.0,6770.0,312.16093145433285
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-19,7439,8369,8169,39,730,7651.0,7598.633333333333,2,Rabi,7417.0,7669.0,329.8165094185816
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-19,7239,8189,7819,39,580,7661.714285714285,7617.266666666666,2,Rabi,7744.0,7260.0,325.7914430549333
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-02-20,7169,8323,8074,39,905,7748.428571428572,7636.3,2,Rabi,7467.0,7503.0,335.42265154937513
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-20,7019,8139,7877,39,858,7816.714285714285,7630.966666666666,2,Rabi,7399.0,8037.0,330.0608599400534
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-02-23,6893,8468,7939,39,1046,7873.857142857143,7645.633333333333,2,Rabi,7539.0,7499.0,333.7499046450417
